name,lat,lon,2020pop,2015pop,2010pop,2000pop,1990pop
Somalia,5.152149,46.199616,16537016,13763906,12026649,8721465,6999096
South Africa,-30.559482,22.937506,58801927,55876504,51784921,46813266,39877570
South Sudan,6.8770,31.3070,10606227,11194299,9714419,6114440,4750817
Spain,40.463667,-3.74922,47363807,46431342,46572772,40741651,38889889
Sri Lanka,7.873054,80.771797,21715079,21336697,20668557,18776371,17204094
State of Palestine,31.9522,35.2332,5019401,4484614,3992278,3139954,2124609
Sudan,12.862807,30.217636,44440486,38171178,33739933,26298773,21090886
Suriname,3.919305,-56.027783,607065,575475,546080,478998,412756
Sweden,60.128161,18.643501,10368969,9849349,9381729,8871043,8548406
Switzerland,46.818188,8.227512,8638613,8281732,7822435,7182059,6711693
Syrian Arab Republic,34.802075,38.996815,20772595,19205178,22337563,16307654,12408996
Tajikistan,38.861034,71.276093,9543207,8524063,7621779,6272998,5417860
Thailand,15.870032,100.992541,71475664,70294397,68270489,63066603,55228410
Timor-Leste,-8.874217,125.727539,1299995,1205813,1088486,878360,758106
Togo,8.619543,0.824782,8442580,7473229,6571855,5008035,3875947
Tokelau,-8.967363,-171.855881,1827,1454,1367,1666,1669
Tonga,-21.178986,-175.198242,105254,106122,107383,102603,98727
Trinidad and Tobago,10.691803,-61.222503,1518147,1460177,1410296,1332203,1266518
Tunisia,33.886917,9.537499,12161723,11557779,10895063,9893316,8440023
Turkey,38.963745,35.243322,84135428,79646178,73195345,64113547,54324142
Turkmenistan,38.969719,59.556278,6250438,5766431,5267970,4569132,3720278
Turks and Caicos Islands,21.694025,-71.797928,44276,36538,29726,18744,11709
Tuvalu,-7.109535,177.64933,11069,10877,10550,9638,9182
Uganda,1.373333,32.290275,44404611,37477356,32341728,24020697,17586630
Ukraine,48.379433,31.16558,43909666,44982564,45683020,48879755,51589817
United Arab Emirates,23.424076,53.847818,9287289,8916899,8481771,3275333,1900151
United Kingdom,55.378051,-3.435973,67059474,65224364,62760039,58850043,57210442
United Republic of Tanzania,-6.369028,34.888822,61704518,52542823,45110527,34463704,26206012
United States Virgin Islands,18.335765,-64.896335,100442,102803,106142,108185,100685
United States of America,37.09024,-95.712891,335942003,324607776,311182845,282398554,248083732
Uruguay,-32.522779,-55.765835,3429086,3402818,3352651,3292224,3117012
Uzbekistan,41.377491,64.585262,33526656,30949417,28614227,24925554,20579100
Vanuatu,-15.376706,166.959158,311685,276438,245453,192074,150882
Venezuela (Bolivarian Republic of),6.42375,-66.58973,28490453,30529716,28715022,24427729,19750579
Viet Nam,14.058324,108.277199,96648685,92191398,87411012,79001142,66912613
Wallis and Futuna Islands,-13.768752,-177.156097,11655,12182,13142,14723,13454
Western Sahara,24.215527,-12.885834,556048,491824,413296,270375,178529
Yemen,15.552727,48.516388,32284046,28516545,24743946,18628700,13375121
Zambia,-13.133897,27.849332,18927715,16248230,13792086,9891136,7686401
Zimbabwe,-19.015438,29.154857,15669666,14154937,12839771,11834676,10113893
