Colonizer,Colony,Latitude_Colony,Longitude_Colony,Latitude_Colonizer,Longitude_Colonizer,Language_Colony,Family_Colony,Language_Colonizer,Family_Colonizer
France*,Central African Republic,6.611111,20.939444,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Chad,15.454166,18.732207,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Congo,-0.228021,15.827659,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,India,20.593684,78.96288,46.227638,2.213749,hindi, Indo-European ,french, Indo-European
France*,Viet Nam,14.058324,108.277199,46.227638,2.213749,vietnamese, Austro-Asiatic,french, Indo-European
France*,Cambodia,12.565679,104.990963,46.227638,2.213749,khmer, Austro-Asiatic,french, Indo-European
France*,Lao People's Democratic Republic,19.85627,102.495496,46.227638,2.213749,lao, Kra-Dai ,french, Indo-European
France*,French Polynesia*,-17.679742,-149.406843,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Djibouti,11.825138,42.590275,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Djibouti,11.825138,42.590275,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,Benin,9.30769,2.315834,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Guinea,9.945587,-9.696645,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Mali,17.570692,-3.996166,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Mauritania,21.00789,-10.940835,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,Niger,17.607789,8.081666,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Senegal,14.497401,-14.452362,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Burkina Faso,12.238333,-1.561593,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Guadeloupe*,16.995971,-62.067641,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,United States of America*,37.09024,-95.712891,46.227638,2.213749,english, Indo-European,french, Indo-European
France*,Madagascar,-18.766947,46.869107,46.227638,2.213749,malagasy, Austronesian,french, Indo-European
France*,Madagascar,-18.766947,46.869107,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Martinique*,14.641528,-61.024174,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Morocco,31.791702,-7.09262,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,Syrian Arab Republic,34.802075,38.996815,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,Lebanon,33.854721,35.862285,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,New Caledonia*,-20.904305,165.618042,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Saint Pierre and Miquelon*,46.941936,-56.27111,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Haiti,18.971187,-72.285215,46.227638,2.213749,french, Indo-European,french, Indo-European
France*,Haiti,18.971187,-72.285215,46.227638,2.213749,creole, Creole,french, Indo-European
France*,Tunisia,33.886917,9.537499,46.227638,2.213749,arabic, Afro-Asiatic,french, Indo-European
France*,Vanuatu,-15.376706,166.959158,46.227638,2.213749,english, Indo-European,french, Indo-European
France*,Wallis and Futuna Islands*,-13.768752,-177.156097,46.227638,2.213749,french, Indo-European,french, Indo-European
Russian Federation,United States of America*,37.09024,-95.712891,61.52401,105.318756,english, Indo-European,russian, Indo-European
Russian Federation,Djibouti,11.825138,42.590275,61.52401,105.318756,french, Indo-European,russian, Indo-European
Russian Federation,Djibouti,11.825138,42.590275,61.52401,105.318756,arabic, Afro-Asiatic,russian, Indo-European
Russian Federation,Iran (Islamic Republic of),32.427908,53.688046,61.52401,105.318756,persian, Indo-European,russian, Indo-European
Russian Federation,Mongolia,46.862496,103.846656,61.52401,105.318756,mongolian, Altaic,russian, Indo-European
Germany,Cameroon,7.369722,12.354722,51.165691,10.451526,french, Indo-European,german, Indo-European
Germany,Cameroon,7.369722,12.354722,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Papua New Guinea,-6.314993,143.95555,51.165691,10.451526,tok pisin, Creole,german, Indo-European
Germany,Papua New Guinea,-6.314993,143.95555,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Palau,7.51498,134.58252,51.165691,10.451526,palauan, Austronesian,german, Indo-European
Germany,Samoa,-13.759029,-172.104629,51.165691,10.451526,samoan, Austronesian,german, Indo-European
Germany,Solomon Islands,-9.64571,160.156194,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,United Republic of Tanzania*,-6.369028,34.888822,51.165691,10.451526,swahili, Niger-Congo,german, Indo-European
Germany,United Republic of Tanzania*,-6.369028,34.888822,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Namibia,-22.95764,18.49041,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Kiribati,-3.370417,-168.734039,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Northern Mariana Islands*,17.33083,145.38469,51.165691,10.451526,carolinian, Austronesian,german, Indo-European
Germany,Marshall Islands,7.131474,171.184478,51.165691,10.451526,marshallese, Austronesian,german, Indo-European
Germany,Nauru,-0.522778,166.931503,51.165691,10.451526,nauruan, Austronesian,german, Indo-European
Germany,Togo,8.619543,0.824782,51.165691,10.451526,french, Indo-European,german, Indo-European
Germany,United States of America*,37.09024,-95.712891,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Venezuela (Bolivarian Republic of),6.42375,-66.58973,51.165691,10.451526,spanish, Indo-European,german, Indo-European
Germany,Ghana,7.946527,-1.023194,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Kenya,-0.023559,37.906193,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Kenya,-0.023559,37.906193,51.165691,10.451526,kiswahili, Niger-Congo,german, Indo-European
Germany,Nigeria,9.081999,8.675277,51.165691,10.451526,english, Indo-European,german, Indo-European
Germany,Democratic Republic of the Congo,-4.038333,21.758664,51.165691,10.451526,french, Indo-European,german, Indo-European
Germany,Somalia,5.152149,46.199616,51.165691,10.451526,somali, Afro-Asiatic,german, Indo-European
Germany,Guinea,9.945587,-9.696645,51.165691,10.451526,french, Indo-European,german, Indo-European
Italy,Greece,39.074208,21.824312,41.87194,12.56738,greek, Indo-European,italian, Indo-European
Italy,Albania,41.153332,20.168331,41.87194,12.56738,albanian, Indo-European,italian, Indo-European
Italy,Croatia,45.1,15.2,41.87194,12.56738,croatian, Indo-European,italian, Indo-European
Italy,Montenegro,42.708678,19.37439,41.87194,12.56738,serbian, Indo-European,italian, Indo-European
Italy,Montenegro,42.708678,19.37439,41.87194,12.56738,montenegrin, Indo-European,italian, Indo-European
Italy,China*,35.86166,104.195397,41.87194,12.56738,mandarin, Sino-Tibetan,italian, Indo-European
Italy,Eritrea,15.179384,39.782334,41.87194,12.56738,arabic, Afro-Asiatic,italian, Indo-European
Italy,Ethiopia,9.145,40.489673,41.87194,12.56738,amharic, Afro-Asiatic,italian, Indo-European
Italy,Somalia,5.152149,46.199616,41.87194,12.56738,somali, Afro-Asiatic,italian, Indo-European
Italy,Libya,26.3351,17.228331,41.87194,12.56738,arabic, Afro-Asiatic,italian, Indo-European
Italy,Tunisia,33.886917,9.537499,41.87194,12.56738,arabic, Afro-Asiatic,italian, Indo-European
Italy,Egypt,26.820553,30.802498,41.87194,12.56738,arabic, Afro-Asiatic,italian, Indo-European
Italy,Egypt,26.820553,30.802498,41.87194,12.56738,english, Indo-European,italian, Indo-European
Italy,Spain*,40.463667,-3.74922,41.87194,12.56738,spanish, Indo-European,italian, Indo-European
Italy,Portugal,39.399872,-8.224454,41.87194,12.56738,portuguese, Indo-European,italian, Indo-European
Italy,France*,46.227638,2.213749,41.87194,12.56738,french, Indo-European,italian, Indo-European
Italy,Turkey,38.963745,35.243322,41.87194,12.56738,turkish, Turkic,italian, Indo-European
Italy,Switzerland,46.818188,8.227512,41.87194,12.56738,german, Indo-European,italian, Indo-European
Italy,Switzerland,46.818188,8.227512,41.87194,12.56738,french, Indo-European,italian, Indo-European
Italy,Bulgaria,42.733883,25.48583,41.87194,12.56738,bulgarian, Indo-European,italian, Indo-European
